animalid,name,datetime,outcometype,outcomesubtype,animaltype,sex,castration,ageuponoutcome,breed,color
A673623,Shtinker,Sunday,Return_to_owner,,Dog,Female,Spayed,1095,Chihuahua Shorthair Mix,White/Brown
A713654,Basher,Sunday,Return_to_owner,,Dog,Male,Intact,365,Pit Bull Mix,Red/White
A718225,Missy Santa,Thursday,Adoption,,Dog,Female,Spayed,365,German Shepherd Mix,Black/Tan
A699171,Ben,Tuesday,Adoption,,Dog,Male,Neutered,2190,English Coonhound Mix,Black/White
A701257,,Monday,Transfer,SCRP,Cat,Unknown,Unknown,365,Domestic Shorthair Mix,Brown Tabby
A686607,Sophie,Monday,Adoption,,Dog,Female,Spayed,1095,Australian Shepherd Mix,Tricolor
A705104,Emma,Tuesday,Adoption,,Cat,Female,Spayed,31,Domestic Shorthair Mix,Tortie/White
A678360,Fern,Thursday,Adoption,,Cat,Female,Spayed,62,Domestic Shorthair Mix,Brown Tabby
A689969,Paprika,Friday,Adoption,Foster,Cat,Female,Spayed,217,Domestic Shorthair Mix,Calico
A705042,Willie,Saturday,Adoption,Foster,Cat,Male,Neutered,62,Domestic Shorthair Mix,Brown Tabby
A683773,Ace,Wednesday,Transfer,Partner,Dog,Male,Neutered,365,Rat Terrier Mix,Tricolor
A671731,Rufus Jenkin,Sunday,Adoption,,Dog,Male,Neutered,2555,Cairn Terrier Mix,Tan
A696340,,Wednesday,Transfer,SCRP,Cat,Unknown,Unknown,93,Domestic Shorthair Mix,Black
A698493,Canelo,Tuesday,Return_to_owner,,Dog,Male,Neutered,730,Pit Bull Mix,Fawn/White
A673778,,Sunday,Transfer,Partner,Dog,Male,Intact,365,Yorkshire Terrier/Miniature Poodle,Blue/Tan
A665571,,Saturday,Euthanasia,Suffering,Cat,Male,Intact,124,Domestic Shorthair Mix,Black
A683616,,Wednesday,Adoption,,Dog,Female,Spayed,31,Chihuahua Shorthair/Border Terrier,Brown/Black
A678735,Buddy,Saturday,Transfer,Partner,Dog,Male,Intact,14,Chihuahua Shorthair/Jack Russell Terrier,White
A638296,Starla,Tuesday,Return_to_owner,,Dog,Female,Spayed,365,Labrador Retriever Mix,Chocolate
A662404,Cookie,Sunday,Adoption,Offsite,Cat,Male,Neutered,62,Domestic Shorthair Mix,Black
A684583,,Tuesday,Adoption,,Dog,Female,Spayed,62,Labrador Retriever/Newfoundland,Black
A684555,,Tuesday,Adoption,,Dog,Female,Spayed,93,Miniature Poodle Mix,Black/White
A681779,,Saturday,Transfer,SCRP,Cat,Male,Neutered,1095,Domestic Shorthair Mix,Brown Tabby
A688416,,Wednesday,Transfer,Partner,Cat,Female,Intact,14,Domestic Shorthair Mix,Brown Tabby/White
A681886,Heart,Monday,Adoption,,Cat,Male,Neutered,730,Domestic Shorthair Mix,Orange Tabby
A664934,Seymour,Tuesday,Return_to_owner,,Dog,Male,Neutered,730,Parson Russell Terrier Mix,White/Brown
A696534,,Sunday,Adoption,,Dog,Male,Neutered,155,Australian Cattle Dog Mix,Brown Merle/White
A710251,Arrow,Friday,Transfer,Partner,Dog,Male,Neutered,2190,Rottweiler Mix,Black/Brown
A685785,Baxter,Sunday,Adoption,,Dog,Male,Neutered,730,Cardigan Welsh Corgi Mix,Tricolor
A691525,,Thursday,Transfer,SCRP,Cat,Male,Intact,186,Domestic Shorthair Mix,Cream Tabby
A679499,Panda,Thursday,Return_to_owner,,Cat,Male,Neutered,1825,Domestic Shorthair Mix,Black/White
A695791,Dakota,Tuesday,Adoption,,Dog,Female,Spayed,62,Labrador Retriever Mix,Black/White
A707881,,Sunday,Transfer,Partner,Cat,Unknown,Unknown,28,Domestic Shorthair Mix,Brown Tabby
A675870,,Tuesday,Transfer,Partner,Cat,Male,Intact,1,Domestic Shorthair Mix,Gray Tabby
A623498,Squid,Thursday,Transfer,Partner,Cat,Male,Neutered,730,Domestic Longhair Mix,Black Smoke/White
A705935,Bashful,Wednesday,Adoption,,Cat,Female,Spayed,62,Domestic Shorthair Mix,Brown Tabby
A704994,Rajah,Saturday,Adoption,,Cat,Male,Intact,62,Domestic Shorthair Mix,Brown Tabby/White
A702519,Brownie,Thursday,Return_to_owner,,Dog,Male,Neutered,62,Pit Bull Mix,Brown/White
A680669,Rosa,Sunday,Transfer,Partner,Cat,Female,Intact,62,Domestic Shorthair Mix,Blue Tabby
A664514,Zane,Sunday,Adoption,,Cat,Male,Intact,93,Manx Mix,Brown Tabby/White
A671686,Maya,Tuesday,Return_to_owner,,Dog,Female,Intact,341,German Shepherd,Black/Tan
A717366,Lassie,Saturday,Return_to_owner,,Dog,Female,Spayed,1825,Border Terrier Mix,Buff/Black
A676273,,Saturday,Adoption,Foster,Cat,Female,Spayed,93,Domestic Shorthair Mix,Brown Tabby
A696883,Lady,Saturday,Return_to_owner,,Dog,Female,Spayed,5110,Toy Fox Terrier Mix,Buff/White
A696094,,Friday,Transfer,SCRP,Cat,Male,Intact,155,Domestic Shorthair Mix,Orange Tabby/White
A675074,Trina,Wednesday,Transfer,Partner,Dog,Female,Intact,93,Chow Chow/Labrador Retriever,Black
A685231,Nelly,Monday,Adoption,,Dog,Female,Spayed,365,Labrador Retriever Mix,Black
A661042,Bentley,Monday,Transfer,Partner,Dog,Male,Neutered,310,German Pinscher/Whippet,Black/Tan
A703402,Oliver,Saturday,Adoption,,Cat,Male,Intact,62,Domestic Shorthair Mix,Orange Tabby
A640955,Sprinkles,Wednesday,Transfer,Partner,Dog,Female,Spayed,5110,Chihuahua Shorthair Mix,Brown Brindle/White
A683016,,Saturday,Euthanasia,Suffering,Cat,Male,Intact,28,Domestic Shorthair Mix,White
A712668,Ninja,Thursday,Return_to_owner,,Cat,Male,Neutered,1825,Domestic Shorthair Mix,Black/White
A709294,Athena,Friday,Return_to_owner,,Dog,Female,Intact,1095,Siberian Husky Mix,Red/White
A681411,Posh,Wednesday,Adoption,,Cat,Female,Spayed,93,Domestic Longhair,Brown Tabby
A695932,Gypsy,Tuesday,Return_to_owner,,Dog,Female,Spayed,1460,Black Mouth Cur Mix,Brown/White
A709461,Teri Teri,Sunday,Adoption,Offsite,Dog,Female,Spayed,365,Chihuahua Shorthair Mix,Brown/Tan
A699048,Chispita,Monday,Adoption,,Dog,Female,Spayed,730,Chihuahua Shorthair Mix,Brown/Tan
A719643,Duke,Thursday,Return_to_owner,,Dog,Male,Neutered,730,Chihuahua Shorthair Mix,Brown/White
A681381,Blinky,Sunday,Adoption,,Cat,Male,Intact,62,Domestic Shorthair Mix,Blue Tabby
A664497,,Tuesday,Transfer,Partner,Dog,Female,Intact,730,Rat Terrier/Australian Cattle Dog,Tricolor
A677882,Izzy,Saturday,Return_to_owner,,Dog,Female,Intact,730,Chihuahua Shorthair Mix,Black/Brown
A677247,Rote,Wednesday,Return_to_owner,,Dog,Male,Neutered,730,German Shepherd Mix,Black/Brown
A562220,Scooby,Thursday,Euthanasia,Aggressive,Dog,Male,Neutered,1825,Bulldog/Pit Bull,Tan/Black
A430366,Lucky,Tuesday,Return_to_owner,,Dog,Male,Neutered,3285,Labrador Retriever Mix,Black
A709472,Riku,Thursday,Adoption,,Dog,Male,Neutered,365,Whippet Mix,White/Tan
A696162,Mr Bentley,Tuesday,Adoption,,Dog,Male,Neutered,365,Yorkshire Terrier Mix,Black
A705451,,Wednesday,Transfer,Partner,Cat,Unknown,Unknown,14,Domestic Shorthair Mix,Brown Tabby
A695598,Princess,Tuesday,Return_to_owner,,Dog,Female,Intact,2190,Chihuahua Shorthair Mix,White/Tan
A716859,Petunia,Monday,Adoption,,Cat,Female,Spayed,248,Domestic Shorthair Mix,Brown Tabby
A719644,Stu,Friday,Adoption,,Dog,Male,Neutered,365,Manchester Terrier Mix,White/Black
A669765,Maeve,Thursday,Adoption,Foster,Dog,Female,Spayed,93,Labrador Retriever Mix,Tricolor
A692596,,Monday,Transfer,SCRP,Cat,Female,Intact,124,Domestic Shorthair Mix,Tortie
A700767,Max,Monday,Return_to_owner,,Dog,Male,Neutered,1460,Labrador Retriever/Plott Hound,Brown Brindle/White
A706061,Babs,Saturday,Adoption,,Cat,Female,Spayed,93,Domestic Shorthair Mix,Tortie
A689009,Pinto,Saturday,Transfer,Partner,Dog,Male,Intact,279,Pit Bull Mix,Brown Brindle/Blue
A708279,,Sunday,Transfer,SCRP,Cat,Male,Intact,93,Domestic Shorthair Mix,Orange Tabby
A689858,Bronx,Sunday,Transfer,Partner,Dog,Male,Neutered,365,Labrador Retriever/Pit Bull,Blue/White
A552796,Jd,Sunday,Adoption,,Dog,Male,Neutered,2920,Pit Bull Mix,Black/White
A700429,Rose,Monday,Transfer,Partner,Dog,Female,Intact,730,Chihuahua Shorthair,Brown
A680802,Don,Monday,Transfer,Partner,Cat,Male,Neutered,62,Domestic Shorthair Mix,Brown Tabby/White
A698781,Sandy,Monday,Euthanasia,Suffering,Dog,Female,Spayed,1095,Labrador Retriever Mix,Tan/White
A609632,Minnie Mouse,Monday,Return_to_owner,,Dog,Female,Intact,3285,Rottweiler Mix,Black/Brown
A672013,,Tuesday,Transfer,SCRP,Cat,Unknown,Unknown,730,Domestic Longhair Mix,White/Orange Tabby
A701511,,Sunday,Adoption,,Cat,Male,Neutered,31,Domestic Shorthair Mix,Blue Tabby
A670092,,Thursday,Euthanasia,Suffering,Dog,Female,Intact,1825,Chihuahua Shorthair Mix,Tan/White
A703662,Joyce,Monday,Return_to_owner,,Dog,Female,Spayed,365,Pit Bull Mix,Blue/White
A696569,Snowy,Sunday,Return_to_owner,,Dog,Male,Neutered,3285,Bichon Frise,White
A696510,Moxy,Saturday,Adoption,,Dog,Female,Spayed,730,Port Water Dog Mix,Brown
A703764,Bella,Saturday,Return_to_owner,,Dog,Female,Intact,365,Border Collie Mix,Black/White
A712921,Shawna,Thursday,Transfer,Partner,Dog,Female,Spayed,186,Labrador Retriever Mix,Black/White
A651818,Mackenzie,Tuesday,Return_to_owner,,Dog,Female,Spayed,1095,Australian Cattle Dog Mix,White/Black
A698810,Nikki,Saturday,Adoption,,Cat,Female,Spayed,365,Russian Blue Mix,Blue
A692078,Cameron,Monday,Adoption,,Cat,Male,Neutered,4745,Domestic Shorthair Mix,Black/White
A667136,,Wednesday,Return_to_owner,,Cat,Female,Spayed,365,Domestic Longhair Mix,Brown Tabby/White
A711486,L.C.,Monday,Euthanasia,Suffering,Cat,Male,Neutered,3285,Domestic Longhair Mix,Black/White
A708974,,Wednesday,Transfer,Partner,Cat,Male,Intact,14,Domestic Shorthair Mix,Black/White
A697762,Socks,Monday,Transfer,Partner,Dog,Female,Spayed,365,Boxer Mix,Tan
A628086,Baby,Sunday,Return_to_owner,,Dog,Female,Spayed,1825,Pit Bull Mix,Black/White
A673209,,Friday,Transfer,SCRP,Cat,Female,Intact,310,Domestic Medium Hair Mix,Tortie
A709204,Bodhi,Monday,Return_to_owner,,Dog,Male,Neutered,730,Dachshund/Beagle,Black/Brown
A663511,Bruno,Saturday,Adoption,,Dog,Male,Neutered,730,American Bulldog/Pit Bull,Brown Brindle/White
A720058,Nacho,Thursday,Return_to_owner,,Cat,Male,Neutered,3285,Domestic Longhair Mix,White/Yellow
A702578,River,Sunday,Return_to_owner,,Dog,Male,Neutered,2920,Australian Cattle Dog Mix,Black/White
A678116,,Sunday,Transfer,Partner,Cat,Female,Intact,28,Domestic Shorthair Mix,Tortie
A590330,Donut,Monday,Return_to_owner,,Dog,Female,Spayed,3285,Australian Cattle Dog Mix,Black/Blue
A666413,Chelsie,Wednesday,Adoption,Foster,Dog,Female,Spayed,730,Cairn Terrier/Chihuahua Shorthair,Tan/White
A705218,,Monday,Transfer,Partner,Cat,Female,Intact,31,Domestic Shorthair Mix,Calico
A684351,Hercules,Thursday,Adoption,,Dog,Male,Neutered,730,Blue Lacy/Labrador Retriever,Tricolor
A685690,Chencho,Wednesday,Adoption,,Dog,Male,Neutered,365,Jack Russell Terrier Mix,White/Tan
A710925,,Sunday,Transfer,Partner,Cat,Unknown,Unknown,1,Domestic Shorthair Mix,Gray Tabby
A673809,,Friday,Transfer,Partner,Dog,Female,Spayed,124,Great Pyrenees Mix,White/Buff
A690169,Bruce,Friday,Adoption,,Dog,Male,Neutered,1095,Labrador Retriever Mix,Black/White
A690287,Claire,Thursday,Transfer,Partner,Cat,Female,Intact,3650,Devon Rex,Chocolate/White
A697496,,Sunday,Died,In Kennel,Cat,Male,Intact,365,Domestic Shorthair Mix,Black/White
A694564,Petunia,Friday,Transfer,Partner,Cat,Female,Intact,730,Domestic Shorthair Mix,White/Blue
A578954,Remus,Tuesday,Transfer,Partner,Dog,Male,Neutered,1825,Parson Russell Terrier Mix,White/Brown
A687101,Mango,Tuesday,Adoption,Foster,Cat,Female,Spayed,3285,Domestic Shorthair Mix,Brown Tabby/White
A705051,Cocoa,Friday,Return_to_owner,,Dog,Female,Spayed,3285,Cocker Spaniel Mix,Chocolate
A682598,,Saturday,Adoption,,Cat,Female,Spayed,124,Domestic Shorthair Mix,Calico
A676961,,Thursday,Transfer,Partner,Cat,Male,Intact,21,Domestic Medium Hair Mix,Blue Tabby
A693775,,Sunday,Died,In Foster,Cat,Male,Intact,93,Domestic Shorthair Mix,Brown Tabby/White
A665914,,Saturday,Transfer,SCRP,Cat,Female,Intact,365,Domestic Shorthair Mix,Calico
A668286,Sally,Wednesday,Transfer,Partner,Cat,Female,Intact,31,Domestic Shorthair Mix,White/Black
A718202,Tina,Thursday,Return_to_owner,,Dog,Female,Spayed,5110,Pug Mix,Tan/White
A685048,,Saturday,Transfer,SCRP,Cat,Male,Intact,93,Domestic Shorthair Mix,Black
A695719,,Thursday,Transfer,SCRP,Cat,Unknown,Unknown,365,Domestic Medium Hair Mix,Black/White
A679025,Chipper,Friday,Return_to_owner,,Dog,Male,Neutered,2190,Labrador Retriever Mix,Yellow
A702269,,Monday,Transfer,Partner,Cat,Unknown,Unknown,7,Domestic Shorthair Mix,Brown Tabby/White
A717469,Mindy,Saturday,Transfer,Partner,Dog,Female,Intact,62,Mastiff/Chinese Sharpei,Tricolor
A664714,Bruce,Friday,Euthanasia,Aggressive,Dog,Male,Intact,1460,Pit Bull Mix,Blue/White
A662512,Dazzle,Thursday,Adoption,Foster,Dog,Female,Spayed,93,Labrador Retriever/Chinese Sharpei,Black/White
A677995,,Sunday,Transfer,SCRP,Cat,Male,Intact,1460,Russian Blue Mix,Blue
A667930,Bree,Wednesday,Transfer,Partner,Dog,Female,Intact,28,German Shepherd/Mastiff,Tan/Black
A699319,Jumpin Jax,Sunday,Adoption,,Cat,Male,Neutered,62,Domestic Shorthair Mix,Brown Tabby
A715362,,Thursday,Transfer,SCRP,Cat,Female,Intact,124,Domestic Shorthair Mix,Brown Tabby
A694759,Rosie,Friday,Transfer,Partner,Dog,Female,Spayed,730,Treeing Cur Mix,Brown
A713953,Jack-O-Lant,Sunday,Transfer,Partner,Cat,Male,Neutered,155,Domestic Shorthair Mix,Orange Tabby
A691306,Kane,Wednesday,Euthanasia,Aggressive,Dog,Male,Neutered,1460,Pit Bull Mix,Black/White
A705208,,Sunday,Euthanasia,Suffering,Cat,Unknown,Unknown,31,Domestic Shorthair Mix,Black
A696100,Prancer,Wednesday,Adoption,,Dog,Male,Neutered,1825,Dachshund Mix,Chocolate/Tan
A697480,Pepita,Sunday,Adoption,,Dog,Female,Spayed,155,Pit Bull Mix,Brown/White
A710771,Kelli,Friday,Return_to_owner,,Dog,Female,Spayed,2190,Chihuahua Shorthair Mix,Brown
A690100,Monkey,Saturday,Adoption,Foster,Cat,Female,Spayed,93,Domestic Longhair Mix,Brown Tabby
A664754,,Sunday,Adoption,,Cat,Male,Neutered,155,Domestic Shorthair Mix,Black
A692985,Asia,Sunday,Return_to_owner,,Dog,Female,Spayed,3650,Labrador Retriever Mix,White
A711742,Braxton,Tuesday,Return_to_owner,,Dog,Male,Intact,1460,Rottweiler Mix,Black/Tan
A706348,,Wednesday,Adoption,,Cat,Female,Spayed,124,Domestic Shorthair Mix,Brown Tabby
A696738,Scooby,Sunday,Adoption,,Dog,Male,Neutered,248,Pit Bull Mix,Blue/White
A641215,Tootsie,Tuesday,Return_to_owner,,Dog,Female,Spayed,730,Pit Bull Mix,Black
A702187,Charlie,Wednesday,Transfer,Partner,Dog,Male,Neutered,1460,Chihuahua Shorthair Mix,Tan/White
A668629,Bonbon,Friday,Adoption,,Dog,Female,Spayed,2190,Chihuahua Longhair Mix,Chocolate
A712030,,Wednesday,Transfer,Partner,Cat,Male,Intact,21,Domestic Shorthair Mix,Brown Tabby
A666955,,Friday,Adoption,,Dog,Female,Spayed,62,Labrador Retriever Mix,Black/Black Brindle
A679172,Tony,Friday,Adoption,,Cat,Male,Neutered,62,Domestic Shorthair Mix,Brown Tabby
A710690,Arwen,Saturday,Transfer,Partner,Cat,Female,Intact,28,Domestic Shorthair Mix,Brown Tabby
A692385,Tux,Monday,Adoption,,Cat,Female,Spayed,62,Domestic Shorthair Mix,Black/White
A691408,Wally,Thursday,Return_to_owner,,Dog,Male,Neutered,3285,Pit Bull Mix,White/Tan
A693097,Niles,Friday,Transfer,Partner,Cat,Male,Neutered,155,Domestic Shorthair Mix,Blue Tabby/White
A706414,Toby,Monday,Transfer,Partner,Dog,Male,Intact,186,Boxer/Labrador Retriever,Black/White
A668488,,Friday,Transfer,SCRP,Cat,Unknown,Unknown,93,Domestic Shorthair Mix,Blue/White
A702974,,Tuesday,Transfer,Partner,Cat,Unknown,Unknown,21,Domestic Shorthair Mix,Blue/White
A701285,,Monday,Transfer,Partner,Cat,Male,Intact,14,Domestic Shorthair Mix,White
A666400,Chloe,Wednesday,Adoption,Foster,Dog,Female,Spayed,2920,Miniature Pinscher,Black/Tan
A675115,,Monday,Adoption,,Cat,Female,Spayed,155,Domestic Shorthair Mix,Torbie
A682024,Bruce Wayne,Saturday,Adoption,,Cat,Male,Intact,62,Domestic Shorthair Mix,Black
A683319,Theo,Thursday,Adoption,Foster,Dog,Male,Neutered,31,Chihuahua Shorthair Mix,Tan/White
A680130,Gloria,Tuesday,Adoption,Foster,Cat,Female,Spayed,1095,Domestic Shorthair Mix,Black
A697104,Doc,Sunday,Adoption,,Dog,Male,Neutered,365,Chihuahua Shorthair Mix,White/Brown
A669562,Banjo,Wednesday,Adoption,,Dog,Male,Intact,93,Cairn Terrier Mix,Brown
A711073,Lalo,Saturday,Adoption,,Cat,Male,Neutered,93,Domestic Shorthair Mix,White/Black
A681417,Whiskers,Thursday,Transfer,Partner,Dog,Male,Neutered,4745,Miniature Schnauzer Mix,Gray/White
A713892,Tuna,Wednesday,Transfer,Partner,Cat,Male,Intact,93,Domestic Shorthair Mix,Black
A705481,Sadie,Thursday,Transfer,Partner,Dog,Female,Intact,730,Siberian Husky Mix,Yellow
A701141,Wolfie,Wednesday,Transfer,Partner,Cat,Male,Intact,14,Domestic Shorthair Mix,Black Smoke
A706185,,Friday,Transfer,SCRP,Cat,Male,Intact,365,Domestic Medium Hair Mix,Black
A666646,,Sunday,Transfer,Partner,Dog,Female,Intact,31,Labrador Retriever Mix,Black/White
A688107,Anatoli,Saturday,Adoption,,Dog,Male,Neutered,730,Labrador Retriever Mix,Tan/White
A682465,,Saturday,Transfer,Partner,Cat,Female,Intact,3,Domestic Shorthair Mix,Black/White
A521865,Earl,Monday,Return_to_owner,,Dog,Male,Neutered,2555,Pit Bull Mix,Black Brindle/White
A711281,Muffins,Saturday,Return_to_owner,,Cat,Male,Neutered,186,Domestic Shorthair Mix,Brown Tabby/White
A719604,,Friday,Transfer,SCRP,Cat,Male,Neutered,730,Domestic Medium Hair Mix,Cream
A664481,Costello,Sunday,Adoption,,Dog,Male,Neutered,62,Dachshund Wirehair/Border Terrier,Black/Tan
A433746,Evette,Wednesday,Transfer,Partner,Dog,Female,Spayed,3285,Australian Shepherd Mix,White/Brown
A715846,,Sunday,Transfer,SCRP,Cat,Male,Intact,1095,Domestic Shorthair Mix,Brown Tabby/White
A706493,,Tuesday,Transfer,SCRP,Cat,Unknown,Unknown,730,Domestic Shorthair Mix,Black
A662805,Hop,Friday,Adoption,,Cat,Male,Neutered,93,Domestic Shorthair Mix,Brown Tabby
A670400,Claire,Saturday,Return_to_owner,,Dog,Female,Spayed,730,Labrador Retriever Mix,Black
A572003,Brodie,Saturday,Return_to_owner,,Dog,Male,Neutered,1825,Harrier/Catahoula,White/Brown
A683187,,Thursday,Transfer,Partner,Cat,Female,Intact,21,Domestic Shorthair Mix,Blue/White
A702105,Sparky,Tuesday,Transfer,Partner,Dog,Male,Neutered,730,Rat Terrier Mix,White/Tan
A708040,Elwood,Wednesday,Adoption,,Dog,Male,Neutered,1825,Labrador Retriever Mix,Chocolate/White
A689180,,Friday,Adoption,Foster,Dog,Male,Neutered,31,Golden Retriever Mix,Brown/White
A664997,,Tuesday,Transfer,Partner,Dog,Male,Intact,7,Australian Cattle Dog Mix,Tricolor
A715744,Will,Sunday,Died,At Vet,Cat,Male,Intact,31,Siamese Mix,Flame Point
A693894,Shiva,Tuesday,Return_to_owner,,Dog,Female,Spayed,1460,Chihuahua Longhair Mix,Black/White
A705625,Jack,Saturday,Adoption,,Dog,Male,Neutered,730,Pit Bull Mix,Brown/White
A685771,Dixie,Thursday,Return_to_owner,,Dog,Female,Intact,730,Labrador Retriever Mix,Chocolate/White
A675884,Elliot,Monday,Adoption,Foster,Dog,Male,Neutered,62,Beagle Mix,Black/Tan
A670485,Milo,Sunday,Transfer,Partner,Dog,Male,Intact,93,Anatol Shepherd Mix,Buff
A693457,,Monday,Euthanasia,Suffering,Cat,Female,Intact,3650,Domestic Shorthair Mix,Tortie
A698270,Gretchen,Tuesday,Adoption,,Dog,Female,Spayed,730,Pit Bull Mix,Brown/White
A666110,Precious,Saturday,Adoption,,Dog,Female,Spayed,730,Staffordshire Mix,Brown/Black
A673069,Lala,Friday,Transfer,Partner,Dog,Female,Spayed,365,Pit Bull Mix,Blue/White
A689158,Indigo,Tuesday,Transfer,Partner,Cat,Female,Intact,31,Domestic Shorthair Mix,Blue
A700169,Sofie,Thursday,Return_to_owner,,Dog,Female,Spayed,93,Jack Russell Terrier Mix,White/Tan
A680030,,Saturday,Transfer,Partner,Dog,Male,Intact,14,Pit Bull Mix,Brown/White
A714584,Chapara,Monday,Return_to_owner,,Dog,Female,Spayed,730,Pbgv Mix,Black/Gray
A711555,Trina,Sunday,Adoption,,Dog,Female,Spayed,3285,Chihuahua Shorthair,Black/White
A716753,Ozzy,Sunday,Adoption,,Dog,Male,Neutered,730,Landseer Mix,White/Black
A712180,,Saturday,Transfer,Partner,Cat,Male,Intact,7,Domestic Shorthair,Brown Tabby
A703980,,Sunday,Transfer,Partner,Cat,Female,Intact,31,Domestic Shorthair Mix,Torbie
A679635,,Sunday,Transfer,SCRP,Cat,Unknown,Unknown,93,Domestic Shorthair Mix,Brown Tabby
A615843,Isabella,Tuesday,Transfer,Partner,Dog,Female,Spayed,1460,Rat Terrier/Queensland Heeler,White/Tan
A715839,,Wednesday,Transfer,Partner,Cat,Male,Intact,21,Domestic Shorthair Mix,Black/White
A703302,,Tuesday,Adoption,,Dog,Male,Neutered,730,Papillon Mix,Tricolor
A696755,April,Saturday,Adoption,,Dog,Female,Spayed,365,Pit Bull Mix,Yellow Brindle/White
A671729,Bob Barker,Tuesday,Transfer,Partner,Dog,Male,Neutered,365,Beagle/Cavalier Span,Tricolor
A686316,Fin,Wednesday,Return_to_owner,,Dog,Male,Neutered,2555,Pomeranian Mix,White/Brown
A705639,,Friday,Transfer,Partner,Cat,Unknown,Unknown,7,Domestic Shorthair Mix,Blue/White
A664616,Netty,Thursday,Transfer,Partner,Dog,Female,Intact,2555,Chihuahua Shorthair Mix,Black
A569218,Emily,Saturday,Return_to_owner,,Dog,Female,Spayed,1825,Labrador Retriever Mix,Black/White
A682215,Pancake,Friday,Adoption,Foster,Cat,Male,Neutered,62,Domestic Shorthair Mix,Black/White
A694366,Jewel,Sunday,Adoption,,Dog,Female,Spayed,730,Labrador Retriever/Australian Cattle Dog,White/Brown
A674687,Pascal,Wednesday,Transfer,Partner,Cat,Male,Intact,124,Siamese Mix,Lilac Point
A707502,,Tuesday,Transfer,Partner,Cat,Male,Intact,14,Domestic Shorthair Mix,Cream Tabby
A670906,Freya,Tuesday,Adoption,,Dog,Female,Spayed,62,Australian Shepherd/Labrador Retriever,Tan/White
A602764,Pablo,Friday,Return_to_owner,,Dog,Male,Neutered,1825,Pit Bull Mix,White/Tan
A685521,,Monday,Adoption,,Dog,Male,Neutered,310,Australian Cattle Dog Mix,White/Brown
A647139,Tiny,Sunday,Transfer,Partner,Cat,Female,Spayed,730,Domestic Shorthair Mix,Blue Tabby
A708531,,Saturday,Transfer,Partner,Dog,Male,Intact,21,Pit Bull Mix,Brown/White
A718006,,Saturday,Return_to_owner,,Dog,Male,Intact,155,Miniature Poodle Mix,White
A692245,Zane,Friday,Return_to_owner,,Cat,Male,Neutered,730,Domestic Shorthair Mix,Brown Tabby/White
A692605,,Sunday,Transfer,Partner,Dog,Female,Spayed,217,Labrador Retriever Mix,Chocolate
A660101,Bella,Sunday,Adoption,Foster,Cat,Female,Spayed,2190,Domestic Shorthair Mix,White
A704776,Louie,Thursday,Return_to_owner,,Dog,Male,Neutered,1460,Chihuahua Shorthair Mix,Tan/White
A669641,Hannibal,Friday,Return_to_owner,,Dog,Male,Intact,730,Australian Kelpie Mix,Tan
A706256,Groot,Thursday,Adoption,,Dog,Male,Neutered,62,German Shepherd Mix,Tan
A665354,Eric,Friday,Transfer,Partner,Cat,Female,Intact,31,Domestic Shorthair Mix,Torbie
A522484,Nub,Monday,Return_to_owner,,Cat,Female,Spayed,1825,Domestic Shorthair Mix,Blue Tabby
A671715,Kevin,Sunday,Adoption,,Dog,Male,Neutered,365,Pit Bull Mix,Blue/White
A705870,Brandi,Wednesday,Euthanasia,Suffering,Cat,Female,Intact,62,Domestic Shorthair Mix,Calico
A716590,Yams,Sunday,Transfer,Partner,Dog,Female,Spayed,365,Pharaoh Hound Mix,Red
A681149,Pinky,Thursday,Transfer,Partner,Dog,Male,Intact,730,Dachshund Mix,Brown
A703933,Lucy,Sunday,Return_to_owner,,Dog,Female,Spayed,730,German Shepherd Mix,Brown/Black
A680166,,Friday,Transfer,Partner,Cat,Male,Intact,21,Domestic Shorthair Mix,Black/White
A711045,Tippy Tail,Sunday,Transfer,Partner,Cat,Female,Intact,730,Domestic Shorthair Mix,Brown Tabby/White
A714037,Paloma,Sunday,Return_to_owner,,Dog,Female,Intact,730,Chihuahua Shorthair Mix,Buff
A677266,Lexie,Saturday,Transfer,Partner,Dog,Female,Spayed,1460,Brittany/Chihuahua Shorthair,Chocolate/White
A699050,Sugars,Tuesday,Return_to_owner,,Dog,Female,Spayed,5475,Shih Tzu,White/Gray
A688926,,Friday,Transfer,Partner,Cat,Female,Intact,28,Domestic Shorthair Mix,Calico
A712181,,Saturday,Transfer,Partner,Cat,Male,Intact,7,Domestic Shorthair,Brown Tabby
A661314,Momma,Wednesday,Adoption,,Cat,Female,Spayed,730,Domestic Shorthair Mix,White/Black
A650282,Tulip,Saturday,Transfer,Partner,Dog,Female,Spayed,1095,Australian Kelpie/American Pit Bull Terrier,Brown Brindle/White
A693347,Jam,Saturday,Return_to_owner,,Cat,Female,Spayed,1095,Domestic Shorthair Mix,Black
A708227,Mitt,Wednesday,Return_to_owner,,Cat,Female,Spayed,1460,Domestic Longhair Mix,Calico
A688350,Peaches,Wednesday,Adoption,,Dog,Female,Spayed,62,Chihuahua Shorthair Mix,Cream/White
A684649,Apollo,Tuesday,Return_to_owner,,Cat,Male,Neutered,186,Domestic Shorthair Mix,Orange Tabby/White
A713825,Nemo,Tuesday,Adoption,Foster,Cat,Male,Neutered,93,Domestic Shorthair Mix,Brown Tabby
