animalid,name,datetime,holiday,outcometype,outcomesubtype,animaltype,sex,castration,agegroup,breed,color
A665750,Levi,Saturday,False,Adoption,,Dog,Male,Intact,puppy,Anatol Shepherd Mix,Red/White
A690086,Charlotte,Monday,False,Adoption,,Dog,Female,Spayed,puppy,Australian Shepherd Mix,Brown/White
A626351,Cleo,Saturday,False,Adoption,,Dog,Female,Spayed,aging_dog,Pit Bull Mix,Tan/White
A704005,Petunia,Saturday,False,Adoption,Foster,Cat,Female,Spayed,kitten,Siamese Mix,Lynx Point
A706402,Pia,Sunday,False,Adoption,,Dog,Female,Spayed,adult,Bulldog Mix,Brown/Black
A664780,Jade,Monday,False,Adoption,,Dog,Female,Spayed,puppy,Labrador Retriever/Black/Tan Hound,Black
A667028,Mike,Saturday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Orange Tabby
A700336,Fluffy,Sunday,False,Transfer,Partner,Dog,Female,Spayed,,Chihuahua Longhair Mix,Tricolor
A711731,,Friday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Brown Tabby/White
A718139,Rudolph,Friday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Black
A710678,Mocha,Sunday,False,Adoption,,Cat,Female,Spayed,adult,Domestic Longhair Mix,Tortie
A716583,Molly,Saturday,False,Return_to_owner,,Dog,Female,Intact,adult,Chihuahua Shorthair Mix,Red
A712647,Cooper,Saturday,False,Return_to_owner,,Dog,Male,Neutered,aging_dog,Shih Tzu Mix,White
A688090,,Friday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Blue
A666350,Bailey,Thursday,False,Return_to_owner,,Dog,Male,Neutered,adult,Miniature Poodle Mix,White
A713269,Sofia,Sunday,False,Adoption,,Dog,Female,Spayed,puppy,German Shepherd Mix,Tan/White
A683834,,Wednesday,False,Transfer,SCRP,Cat,Female,Intact,adult,Manx/Domestic Shorthair,Brown Tabby
A670693,Milhouse,Friday,False,Adoption,,Dog,Male,Neutered,adult,Cardigan Welsh Corgi Mix,Black Smoke/White
A703850,,Sunday,False,Transfer,Partner,Dog,Male,Intact,puppy,American Bulldog Mix,White/Black
A680587,Juniper,Tuesday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Black
A666073,Jil,Wednesday,False,Transfer,Partner,Cat,Female,Intact,kitten,Siamese Mix,Lynx Point
A687318,Ziggy,Saturday,False,Adoption,,Cat,Female,Spayed,adult,Domestic Longhair Mix,Black
A652954,Max,Monday,False,Adoption,,Dog,Male,Neutered,adult,German Shepherd/Labrador Retriever,Brown/Black
A709402,Scruffles,Saturday,False,Return_to_owner,,Cat,Female,Spayed,adult,Domestic Shorthair Mix,Calico
A665562,,Monday,False,Died,In Kennel,Dog,Female,Intact,adult,Chihuahua Shorthair Mix,Tan
A716648,Blaze,Wednesday,False,Transfer,Partner,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Blue/White
A700344,,Sunday,False,Transfer,Partner,Cat,Unknown,Unknown,kitten,Domestic Shorthair Mix,Brown Tabby
A691045,Patches,Wednesday,False,Return_to_owner,,Dog,Male,Neutered,,Labrador Retriever/Pointer,White/Black
A719209,Blacky,Thursday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Black
A687583,Magilla,Saturday,False,Adoption,,Dog,Male,Neutered,aging_dog,Pit Bull/Mastiff,Brown
A695175,Sugar,Wednesday,False,Transfer,Partner,Dog,Female,Spayed,aging_dog,Boxer Mix,Brown/White
A681159,Ting Ting,Monday,False,Transfer,Partner,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Tortie
A687398,,Monday,False,Transfer,Partner,Dog,Female,Intact,aging_dog,Rat Terrier Mix,White/Brown
A678597,Bruno,Tuesday,False,Transfer,Partner,Cat,Male,Neutered,adult,Domestic Medium Hair Mix,Orange Tabby/White
A689728,,Thursday,False,Euthanasia,Behavior,Dog,Female,Intact,aging_dog,Pit Bull Mix,Blue/White
A686842,Herman,Sunday,False,Euthanasia,Aggressive,Dog,Male,Neutered,adult,Staffordshire,Fawn/White
A680889,Hansel,Saturday,False,Adoption,,Dog,Male,Neutered,adult,Dachshund Mix,Red
A720153,Mitchell,Tuesday,False,Transfer,Partner,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Torbie
A667421,,Tuesday,False,Transfer,Partner,Dog,Male,Intact,puppy,German Shepherd Mix,Black/Tan
A687894,Lina,Thursday,False,Transfer,Partner,Dog,Female,Spayed,adult,Australian Kelpie/Blue Lacy,Blue
A699683,Bruno,Wednesday,False,Return_to_owner,,Dog,Male,Intact,aging_dog,Boxer,Brown Brindle/White
A683336,Rosie,Monday,False,Adoption,,Dog,Female,Spayed,adult,Chihuahua Shorthair Mix,Black/White
A678658,Killer,Thursday,False,Adoption,,Dog,Male,Neutered,aging_dog,Chihuahua Shorthair Mix,Brown/White
A665681,,Tuesday,False,Adoption,,Dog,Male,Neutered,puppy,Chihuahua Shorthair Mix,Tan/White
A542056,T.T.,Wednesday,False,Transfer,Partner,Cat,Female,Spayed,adult,Siamese Mix,Calico Point
A711820,Tuxedo,Monday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Black/White
A682683,Nadia,Wednesday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Black/White
A674155,Toby,Sunday,False,Return_to_owner,,Dog,Male,Neutered,adult,Maltese Mix,White
A714596,Cooper,Saturday,False,Adoption,,Dog,Male,Neutered,adult,Boxer Mix,White/Black
A679405,,Sunday,False,Adoption,,Dog,Female,Spayed,adult,Australian Kelpie/Australian Shepherd,Brown/Black
A717462,,Monday,False,Transfer,Partner,Cat,Female,Spayed,adult,Domestic Shorthair Mix,Brown Tabby/White
A676887,Mutt,Tuesday,False,Return_to_owner,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Black/White
A667754,Littlejerry,Friday,False,Transfer,Partner,Dog,Male,Neutered,adult,Chihuahua Shorthair,Fawn/White
A666364,Little Bit,Sunday,False,Return_to_owner,,Dog,Female,Spayed,aging_dog,Dachshund Mix,Brown
A718964,Shadow,Monday,False,Return_to_owner,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Black
A689757,Brik,Saturday,False,Return_to_owner,,Dog,Male,Neutered,adult,Australian Cattle Dog Mix,Red/White
A693824,,Monday,False,Euthanasia,Suffering,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Brown Tabby
A710190,Aslan,Monday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Brown Tabby
A709145,,Friday,False,Died,In Kennel,Dog,Female,Intact,puppy,Chihuahua Shorthair Mix,Black/Tan
A674170,Anubis,Saturday,False,Transfer,Partner,Dog,Male,Neutered,adult,Chihuahua Shorthair Mix,Brown/Black
A718510,Blue Boy,Thursday,False,Return_to_owner,,Dog,Male,Neutered,adult,Pit Bull Mix,Blue/White
A692499,Leah,Sunday,False,Return_to_owner,,Dog,Female,Spayed,aging_dog,Shih Tzu Mix,Black
A634982,Max,Wednesday,False,Return_to_owner,,Cat,Male,Neutered,adult,Domestic Shorthair Mix,Black/White
A695632,Camila,Tuesday,False,Return_to_owner,,Dog,Female,Spayed,adult,Chihuahua Shorthair Mix,White/Brown
A680675,,Thursday,False,Transfer,Partner,Cat,Unknown,Unknown,kitten,Domestic Shorthair Mix,Brown Tabby
A712729,Paisley,Friday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Black/White
A695623,Starlit,Sunday,False,Adoption,,Dog,Female,Spayed,adult,Chihuahua Shorthair,Tan
A683014,Ann,Wednesday,False,Transfer,Partner,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Brown Tabby
A696409,Hans,Monday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Black
A673686,Iris,Sunday,False,Transfer,Partner,Dog,Female,Intact,adult,Staffordshire Mix,Gold/White
A701274,Speck,Monday,False,Return_to_owner,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Calico
A670712,Ferdinand,Tuesday,False,Transfer,Partner,Cat,Male,Neutered,adult,Domestic Medium Hair Mix,Black/White
A684781,Ms. Whiskers,Sunday,False,Adoption,,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Calico
A713792,Farrelly,Sunday,False,Adoption,,Dog,Male,Neutered,adult,Cairn Terrier/Chihuahua Shorthair,Brown/White
A661158,Lewis Leelo,Monday,False,Adoption,,Cat,Male,Neutered,adult,Domestic Longhair/Persian,White/Black
A684304,Mister,Thursday,False,Transfer,Partner,Cat,Male,Neutered,adult,Domestic Medium Hair Mix,Blue
A713706,Hooker,Sunday,False,Return_to_owner,,Dog,Male,Neutered,,Labrador Retriever Mix,Yellow
A700985,,Tuesday,False,Transfer,Partner,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Black/White
A694044,Denver,Tuesday,False,Adoption,,Dog,Male,Neutered,puppy,Labrador Retriever/Pit Bull,Brown Brindle/White
A694638,Ralphie,Monday,False,Adoption,,Dog,Male,Neutered,aging_dog,Miniature Poodle Mix,White
A719491,,Wednesday,False,Adoption,,Dog,Male,Neutered,puppy,Dachshund/Chihuahua Shorthair,Tricolor
A696352,Mia,Tuesday,False,Return_to_owner,,Dog,Female,Spayed,,Miniature Poodle Mix,Black
A703079,,Wednesday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Blue
A689452,Eddie,Friday,False,Transfer,Partner,Dog,Male,Neutered,adult,Dachshund Mix,Brown/White
A711806,Boomer,Monday,False,Transfer,Partner,Dog,Male,Neutered,adult,Soft Coated Wheaten Terrier Mix,Black/White
A704957,Rex,Tuesday,False,Adoption,,Dog,Male,Neutered,adult,Labrador Retriever/Great Pyrenees,Yellow
A713697,Tora,Sunday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Tortie
A668819,,Tuesday,False,Transfer,SCRP,Cat,Male,Intact,adult,Domestic Shorthair Mix,White/Blue
A680104,Aj,Tuesday,False,Transfer,Partner,Cat,Unknown,Unknown,kitten,Domestic Shorthair Mix,Brown Tabby
A695845,Molly,Friday,False,Transfer,Partner,Dog,Female,Spayed,adult,Doberman Pinsch,Fawn
A687145,,Saturday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Blue
A711879,,Sunday,False,Transfer,Partner,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Brown Tabby
A702002,Diamond,Friday,False,Adoption,,Dog,Female,Spayed,adult,Pit Bull Mix,White
A666781,Opossum,Tuesday,False,Return_to_owner,,Cat,Male,Neutered,adult,Domestic Shorthair Mix,Brown Tabby
A716649,Bunnie,Monday,False,Transfer,Partner,Dog,Female,Spayed,aging_dog,Jindo Mix,Tan/White
A614012,Lillian,Saturday,False,Adoption,Foster,Cat,Female,Spayed,adult,Domestic Shorthair Mix,Brown Tabby
A711070,Lulu,Monday,True,Adoption,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Blue Tabby/White
A715137,Sarah,Wednesday,True,Adoption,,Dog,Female,Spayed,adult,Australian Cattle Dog Mix,Tricolor
A671088,Melvin,Thursday,False,Transfer,Partner,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Brown Tabby
A666218,Tillie,Saturday,False,Transfer,Partner,Dog,Female,Spayed,puppy,Collie Smooth Mix,White/Black
A685695,Red,Sunday,False,Adoption,Foster,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Orange Tabby
A707962,,Tuesday,False,Transfer,Partner,Cat,Unknown,Unknown,kitten,Snowshoe Mix,Lynx Point
A696814,,Monday,True,Adoption,,Dog,Female,Spayed,puppy,Soft Coated Wheaten Terrier Mix,Buff
A669533,Ace,Monday,False,Adoption,,Dog,Male,Neutered,adult,Belgian Malinois Mix,Brown/Black
A596317,Jenny,Sunday,False,Adoption,,Dog,Female,Spayed,aging_dog,American Staffordshire Terrier Mix,Black/White
A666078,Gillian,Saturday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Black
A698139,,Saturday,False,Transfer,SCRP,Cat,Unknown,Unknown,kitten,Domestic Shorthair Mix,Black
A672348,Tiger,Wednesday,False,Adoption,,Dog,Male,Neutered,adult,American Staffordshire Terrier Mix,Brown Brindle/White
A666177,,Sunday,False,Adoption,,Dog,Male,Neutered,adult,American Pit Bull Terrier Mix,Blue/White
A706797,,Saturday,True,Transfer,SCRP,Cat,Unknown,Unknown,kitten,Domestic Shorthair Mix,Black/White
A700565,Lamar,Sunday,False,Adoption,Offsite,Dog,Male,Neutered,adult,Chihuahua Shorthair Mix,Black/White
A675345,,Monday,False,Adoption,,Dog,Male,Neutered,adult,Dachshund Mix,Blue/White
A717611,Socks,Saturday,False,Return_to_owner,,Dog,Female,Intact,puppy,Pit Bull Mix,Black/White
A708391,Hyden,Monday,False,Transfer,Partner,Dog,Female,Spayed,aging_dog,Siberian Husky Mix,Red/White
A711119,Daffodil,Monday,False,Transfer,Partner,Cat,Female,Intact,adult,Domestic Shorthair Mix,Calico
A669433,Pork Chop,Saturday,False,Adoption,Foster,Dog,Male,Neutered,adult,Chihuahua Shorthair/Miniature Pinscher,Yellow/White
A716367,,Sunday,False,Transfer,SCRP,Cat,Male,Intact,adult,Domestic Longhair Mix,Orange Tabby/White
A666811,Bear,Tuesday,False,Transfer,Partner,Cat,Male,Neutered,kitten,Siamese/Domestic Shorthair,Black
A702093,,Saturday,False,Transfer,Partner,Cat,Unknown,Unknown,kitten,Domestic Shorthair Mix,Black
A687753,Gilly,Friday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Brown Tabby
A689145,Muffin,Tuesday,False,Adoption,Foster,Dog,Female,Spayed,adult,Australian Shepherd,Blue Merle/Tricolor
A608232,Spike,Tuesday,False,Return_to_owner,,Dog,Male,Neutered,,Yorkshire Terrier,Black/Tan
A695603,Feather,Friday,False,Return_to_owner,,Dog,Female,Intact,puppy,Pit Bull Mix,Brown/White
A669949,,Friday,False,Transfer,Partner,Dog,Female,Spayed,adult,Pomeranian Mix,Red
A682184,Ben,Friday,True,Return_to_owner,,Dog,Male,Neutered,adult,St. Bernard Smooth Coat Mix,Brown/White
A679309,,Monday,False,Died,In Foster,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Orange Tabby/White
A681222,,Tuesday,False,Adoption,,Cat,Female,Spayed,kitten,Siamese Mix,Lynx Point
A714138,Archer,Monday,False,Return_to_owner,,Dog,Male,Neutered,adult,Labrador Retriever Mix,Black/White
A683286,,Saturday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Longhair Mix,Torbie
A679461,Liam,Sunday,False,Adoption,Foster,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Black/White
A678619,Ozzie,Sunday,False,Adoption,Offsite,Dog,Male,Neutered,adult,Shih Tzu/Norfolk Terrier,Red/White
A662753,Gisele,Sunday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Medium Hair Mix,Blue Tabby/White
A709211,Simba,Saturday,False,Return_to_owner,,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Orange Tabby
A668660,Dasher,Thursday,False,Adoption,Foster,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Black
A675322,Lil Bit,Friday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Blue Tabby
A677879,Walter,Sunday,False,Adoption,,Cat,Male,Neutered,kitten,Siamese Mix,Seal Point
A676587,Marian,Sunday,False,Return_to_owner,,Dog,Female,Spayed,adult,Australian Shepherd Mix,White
A716406,Peabody,Sunday,False,Transfer,Partner,Cat,Male,Neutered,adult,Domestic Shorthair Mix,Orange Tabby
A686202,Macarron,Saturday,False,Adoption,,Dog,Male,Neutered,adult,Labrador Retriever/Great Pyrenees,Brown/White
A693334,Rabbit,Tuesday,False,Adoption,,Dog,Female,Spayed,adult,Pit Bull Mix,Brown/White
A693021,Itty Bitty K,Saturday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Longhair Mix,Black/White
A684912,Kai Franco,Sunday,False,Adoption,,Dog,Male,Neutered,puppy,Labrador Retriever Mix,Black/White
A701334,,Saturday,False,Adoption,,Dog,Male,Neutered,puppy,Bluetick Hound Mix,Black/White
A665019,Amber,Thursday,False,Adoption,,Cat,Female,Spayed,adult,Domestic Shorthair Mix,Torbie
A665961,,Tuesday,False,Transfer,Partner,Dog,Male,Intact,adult,Anatol Shepherd Mix,Tricolor
A624126,Blue,Tuesday,False,Return_to_owner,,Dog,Male,Neutered,adult,Pit Bull Mix,Blue Tiger/White
A615472,Jake,Saturday,False,Return_to_owner,,Dog,Male,Neutered,aging_dog,Labrador Retriever/Rottweiler,Black
A683713,Harvey,Friday,False,Return_to_owner,,Cat,Male,Neutered,adult,Domestic Shorthair Mix,Blue/White
A681493,Charlie 2,Thursday,False,Transfer,Partner,Dog,Male,Neutered,adult,Shih Tzu,Tan
A715005,Onyx,Tuesday,False,Transfer,Partner,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Black
A696638,Sausalito,Sunday,False,Adoption,,Dog,Male,Neutered,aging_dog,Chihuahua Shorthair Mix,Tan
A715814,Rae,Friday,False,Adoption,,Dog,Female,Spayed,puppy,Labrador Retriever Mix,Red/White
A685809,Darcy,Friday,False,Adoption,,Dog,Female,Spayed,adult,Dachshund/Australian Cattle Dog,Brown Brindle/White
A705250,Nathan,Sunday,False,Adoption,Foster,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Brown Tabby
A684796,,Tuesday,False,Transfer,SCRP,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Brown Tabby/White
A671801,Andi,Monday,False,Adoption,,Dog,Female,Spayed,aging_dog,Chihuahua Shorthair Mix,White/Tan
A711553,Abbott,Wednesday,False,Adoption,Foster,Dog,Male,Neutered,aging_dog,Cardigan Welsh Corgi Mix,Tricolor
A676668,,Sunday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Brown Tabby/White
A681248,Loki,Friday,False,Adoption,,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Black/White
A673350,Skip,Monday,False,Return_to_owner,,Dog,Male,Intact,adult,Chihuahua Shorthair Mix,Blue/Tan
A696561,Zara,Sunday,False,Adoption,,Dog,Female,Spayed,puppy,Rat Terrier/Miniature Poodle,White/Brown
A716370,Bunk,Thursday,False,Adoption,Foster,Dog,Male,Neutered,puppy,Boxer Mix,Black Brindle/White
A691545,Maple,Sunday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Cream
A687942,,Friday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Orange Tabby/White
A715803,,Wednesday,True,Euthanasia,Suffering,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Black
A702661,,Saturday,False,Adoption,Foster,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Black
A672166,Baxter,Friday,False,Transfer,Partner,Dog,Male,Intact,puppy,Yorkshire Terrier Mix,Tan
A717570,Django,Tuesday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Medium Hair Mix,Orange Tabby/White
A716109,Cassie,Saturday,False,Transfer,Partner,Dog,Female,Spayed,adult,Catahoula Mix,Brown
A621716,Maizy,Monday,False,Adoption,,Dog,Female,Spayed,aging_dog,Pit Bull Mix,Chocolate/White
A705749,Lydia,Wednesday,False,Adoption,,Dog,Female,Spayed,adult,English Bulldog Mix,White/Brown
A704721,,Monday,False,Transfer,Partner,Cat,Unknown,Unknown,kitten,Domestic Shorthair Mix,Orange Tabby/White
A714486,,Tuesday,False,Adoption,,Dog,Male,Neutered,adult,Chihuahua Shorthair Mix,Tricolor
A665409,Treat,Saturday,False,Transfer,Partner,Cat,Female,Intact,kitten,Domestic Longhair Mix,Black
A702180,Danny,Thursday,False,Return_to_owner,,Dog,Male,Neutered,,Jack Russell Terrier Mix,White/Brown
A691814,Mitch,Friday,False,Adoption,,Dog,Male,Neutered,aging_dog,Pug/Staffordshire,Fawn/Black
A684647,,Monday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Blue Tabby/White
A713646,Spit Fire,Thursday,False,Transfer,Partner,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Calico
A683510,Errol,Saturday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Blue Tabby
A710112,Nelson,Tuesday,False,Transfer,Partner,Dog,Male,Neutered,aging_dog,Beagle/Dachshund,Black/Tan
A686630,Lacey,Tuesday,False,Adoption,,Dog,Female,Spayed,puppy,Border Collie Mix,Chocolate/White
A673065,Sadie,Monday,False,Adoption,,Dog,Female,Spayed,aging_dog,Pit Bull,Red/White
A689184,Pumpkin,Saturday,False,Adoption,Foster,Dog,Female,Spayed,puppy,Golden Retriever Mix,Brown
A570182,Chloe,Thursday,False,Adoption,,Dog,Female,Spayed,aging_dog,Beagle/Pug,Tan/Black
A711830,Daisy,Monday,False,Transfer,Partner,Dog,Female,Spayed,adult,Pit Bull Mix,Black Brindle/White
A690913,Bert,Tuesday,False,Transfer,Partner,Dog,Male,Neutered,adult,Pit Bull Mix,Blue/White
A669663,Roxy,Sunday,False,Adoption,,Dog,Female,Spayed,adult,Chihuahua Shorthair Mix,Chocolate/White
A705799,Scotty,Sunday,False,Adoption,,Dog,Male,Neutered,puppy,Norfolk Terrier Mix,White/Buff
A676271,,Saturday,False,Adoption,Foster,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Brown Tabby
A708810,Mini Mouse,Sunday,False,Transfer,Partner,Dog,Female,Intact,,Chihuahua Shorthair Mix,Black/White
A705186,,Sunday,False,Transfer,Partner,Cat,Unknown,Unknown,kitten,Domestic Shorthair Mix,Orange Tabby
A702418,Emmett,Tuesday,False,Adoption,,Dog,Male,Intact,puppy,Chihuahua Shorthair Mix,Brown Merle
A710473,Izzy,Saturday,False,Adoption,,Dog,Female,Spayed,adult,Catahoula Mix,Brown Brindle
A691295,Max,Tuesday,False,Return_to_owner,,Dog,Male,Neutered,,Labrador Retriever/Australian Cattle Dog,Chocolate/White
A529609,Billy Jean,Monday,True,Return_to_owner,,Dog,Female,Spayed,aging_dog,Belgian Malinois/Australian Shepherd,Brown/Brown Merle
A707673,Brunie,Friday,False,Transfer,Partner,Cat,Female,Spayed,adult,Domestic Medium Hair Mix,Calico
A642081,Cachito,Friday,False,Transfer,Partner,Dog,Male,Neutered,,Pit Bull,Brown/White
A704548,Ian,Friday,True,Adoption,Foster,Dog,Male,Neutered,puppy,German Shepherd/Boxer,Brown/Black
A674325,Clint,Friday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Cream Tabby
A691962,,Saturday,False,Transfer,Partner,Dog,Male,Intact,adult,Chihuahua Shorthair Mix,Black
A684054,Frank,Wednesday,False,Euthanasia,Behavior,Dog,Male,Neutered,adult,Pit Bull Mix,Chocolate/White
A709514,,Tuesday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Brown Tabby/White
A696553,Chica,Monday,False,Return_to_owner,,Dog,Female,Intact,adult,German Shepherd Mix,Black/Brown
A682967,,Thursday,False,Adoption,,Dog,Female,Spayed,aging_dog,Dachshund Mix,Black/Tan
A692800,,Wednesday,False,Transfer,SCRP,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Brown Tabby/White
A712857,Collin,Wednesday,False,Transfer,Partner,Dog,Male,Intact,adult,American Pit Bull Terrier Mix,Brown Brindle
A676122,,Saturday,False,Euthanasia,Suffering,Dog,Male,Intact,adult,Pit Bull Mix,Black/White
A693025,Copper,Tuesday,False,Transfer,Partner,Dog,Male,Neutered,adult,Dachshund/Chihuahua Shorthair,Black/Tan
A718064,Milo,Tuesday,False,Transfer,Partner,Dog,Male,Intact,aging_dog,Lhasa Apso Mix,Gray/White
A709838,Bandito,Sunday,False,Return_to_owner,,Dog,Male,Intact,aging_dog,Yorkshire Terrier Mix,Sable
A671025,Cody,Tuesday,False,Transfer,Partner,Dog,Male,Neutered,adult,Maltese/Miniature Poodle,White/Gray
A674929,Sugar,Saturday,False,Adoption,Foster,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Brown Tabby/White
A664747,Lincoln,Sunday,False,Adoption,,Dog,Male,Neutered,puppy,Collie Rough/Australian Cattle Dog,White/Brown
A691562,,Monday,False,Adoption,,Dog,Female,Spayed,adult,Cairn Terrier/Dachshund,Black/Tan
A692337,Trixie,Wednesday,False,Adoption,Foster,Dog,Female,Spayed,adult,Cardigan Welsh Corgi Mix,Black/White
A719299,,Tuesday,False,Transfer,SCRP,Cat,Female,Spayed,adult,Domestic Shorthair Mix,Blue Tabby/White
A682970,,Thursday,False,Adoption,,Dog,Female,Spayed,puppy,Dachshund Longhair Mix,Black/Tan
A681353,Lennox,Saturday,False,Adoption,Foster,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Brown Tabby
A673179,Izzy,Sunday,False,Return_to_owner,,Cat,Female,Spayed,adult,Domestic Longhair Mix,Cream Tabby
A701858,Peaches,Saturday,False,Adoption,,Dog,Female,Spayed,puppy,Chihuahua Shorthair Mix,White/Brown
A688058,Sasha,Monday,False,Adoption,,Dog,Female,Spayed,adult,Cairn Terrier Mix,Buff/White
A706401,Trudy,Thursday,False,Transfer,Partner,Dog,Female,Intact,adult,Cairn Terrier Mix,Tan/White
A672434,Nina,Friday,False,Transfer,Partner,Dog,Female,Spayed,aging_dog,Miniature Poodle Mix,White
A686151,Guera,Wednesday,False,Transfer,Partner,Dog,Female,Intact,adult,Chihuahua Shorthair Mix,Brown
A682281,Tilly,Saturday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Brown Tabby
A709036,Luke,Wednesday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Silver Tabby
A663741,Ivy,Saturday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Medium Hair Mix,Blue Tabby/White
A710274,,Friday,False,Transfer,SCRP,Cat,Female,Spayed,kitten,Domestic Medium Hair Mix,Blue Tabby
A641346,Rome,Wednesday,False,Transfer,Partner,Dog,Male,Neutered,,Doberman Pinsch,Chocolate
A691361,Tia,Tuesday,False,Transfer,Partner,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Brown Tabby
A720655,,Thursday,False,Adoption,,Dog,Female,Spayed,puppy,Collie Smooth Mix,Brown Brindle/White
A691840,Tiffany,Monday,False,Return_to_owner,,Dog,Female,Intact,,German Shepherd Mix,Black/Brown
A670837,Buddy,Monday,False,Adoption,,Dog,Male,Neutered,adult,Schipperke Mix,Black/White
A702191,Topper,Monday,False,Transfer,Partner,Dog,Male,Neutered,aging_dog,Chihuahua Shorthair Mix,Tricolor
A686853,Minnie,Monday,True,Return_to_owner,,Dog,Female,Spayed,puppy,Pit Bull Mix,Tan/White
A696300,Molly,Monday,False,Adoption,Foster,Cat,Female,Spayed,kitten,Domestic Medium Hair Mix,Black
A697301,Churps,Monday,False,Transfer,Partner,Cat,Male,Neutered,adult,Domestic Shorthair Mix,Orange Tabby/White
A701019,Tails,Thursday,False,Return_to_owner,,Dog,Male,Neutered,aging_dog,Pomeranian Mix,Tan/Buff
A718148,,Thursday,False,Transfer,Partner,Cat,Female,Spayed,kitten,Domestic Shorthair,Black
A615521,Marley,Friday,False,Return_to_owner,,Dog,Male,Neutered,aging_dog,Labrador Retriever Mix,Tan
A660095,Paloma,Thursday,False,Transfer,Partner,Dog,Female,Spayed,adult,Pit Bull Mix,White
A708523,,Wednesday,False,Transfer,Partner,Cat,Unknown,Unknown,kitten,Domestic Shorthair Mix,Black
A647452,Jill,Sunday,False,Return_to_owner,,Dog,Female,Spayed,aging_dog,Labrador Retriever Mix,Black/White
